,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1566034942173249539,1565888108721307651,"2022-09-03 07:06:40 Hora est. Pacífico, Sudamérica",2022-09-03,07:06:40,-500,584166271,nidiamonin,Nidia Guerrero Pinzó,,username Canta feliz! Es parte destrucción Colombia 🇨🇴 🥺🥺💩,es,[],[],[],0,0,0,[],[],https://twitter.com/nidiamonin/status/1566034942173249539,False,,0,,Colombia,,,,,,"[{'screen_name': 'SusanaBoreal', 'name': 'Susana Boreal', 'id': '354919977'}]",,,,
1,1566034362579181570,1566029031190953984,"2022-09-03 07:04:22 Hora est. Pacífico, Sudamérica",2022-09-03,07:04:22,-500,167031104,larycovo,Lary Covo,,"username Melo, feliz día ami",es,[],[],[],0,0,0,[],[],https://twitter.com/LaryCovo/status/1566034362579181570,False,,0,,Colombia,,,,,,"[{'screen_name': 'sirenita7', 'name': 'Melida', 'id': '68511184'}]",,,,
2,1566034156265562113,1566034156265562113,"2022-09-03 07:03:33 Hora est. Pacífico, Sudamérica",2022-09-03,07:03:33,-500,1230337113578778626,majotaber01,♍season,,"Feliz aprendiendo ser independiente (aunque aún viva papás), feliz bueno pasando, feliz amigas, feliz tenerlas, feliz salud, vida ✨familia✨.",es,[],[],[],0,0,0,[],[],https://twitter.com/majotaber01/status/1566034156265562113,False,,0,,Colombia,,,,,,[],,,,
3,1566034048136396800,1566031619110174721,"2022-09-03 07:03:07 Hora est. Pacífico, Sudamérica",2022-09-03,07:03:07,-500,313067417,marcelojaramil1,Marcelo Jaramillo,,username username username username username username username username username username username username username username username Feliz día Dr.,es,[],[],[],0,0,1,[],[],https://twitter.com/MarceloJaramil1/status/1566034048136396800,False,,0,,Colombia,,,,,,"[{'screen_name': 'doctorcruz2021A', 'name': 'LE CRUZ OFICIAL', 'id': '1454572322162159619'}, {'screen_name': 'Soraya_0518913', 'name': 'Soraya Elena', 'id': '1438861983852515337'}, {'screen_name': 'Pecoralt', 'name': 'Pedro Coral Tavera ®️™️', 'id': '1287459545535721472'}, {'screen_name': 'primaverasimple', 'name': 'Gin de abril', 'id': '579953883'}, {'screen_name': 'TsJessicaRubio', 'name': '𝙹𝚎𝚜𝚜𝚒𝚌𝚊 𝚁𝚞𝚋𝚒𝚘 ♠', 'id': '1224288441132888064'}, {'screen_name': 'MartyMuriel2', 'name': 'Marty Muriel', 'id': '1544388685902348289'}, {'screen_name': 'Adolf_balaguer', 'name': 'Ayno® 🇳🇴🇪🇦🇨🇴🇻🇪', 'id': '1483774539221848077'}, {'screen_name': 'nanitah9', 'name': 'Viviana Hernandez', 'id': '134262077'}, {'screen_name': 'tenienteraine02', 'name': 'ⒶⓁⒹⓄ ⓇⒶⒾⓃⒺ ⒺⓁ ⒶⓅⒶⒸⒽⒺ', 'id': '1026614066'}, {'screen_name': 'mnlzbl', 'name': 'El Fantasma. (món)', 'id': '978397310'}, {'screen_name': 'elida94730946', 'name': 'elida', 'id': '1357874689608146945'}, {'screen_name': 'TruqueVelezC', 'name': 'Colombia Truque Vélez #VivirSabroso', 'id': '1928472458'}, {'screen_name': 'wilfor44gag', 'name': 'Wilson F Ortega', 'id': '2271980849'}, {'screen_name': 'luigiedu1', 'name': 'Luis Carballo', 'id': '952313125063323648'}, {'screen_name': 'OscarAMontoyaJ', 'name': 'Oscar Alberto Montoya J.', 'id': '1430948335976951827'}]",,,,
4,1566033695848468487,949012506718232577,"2022-09-03 07:01:43 Hora est. Pacífico, Sudamérica",2022-09-03,07:01:43,-500,284614660,numeral767,INVIAS  #767,,"username username, siempre gusto atenderte solucionar inquietude siglo || siguiente (también sig.) ¡Feliz día!  Recuerda prevenir contagio responsabilidad todos, cuida salud familia, salvemos vidas juntos.",es,[],[],[],0,0,0,[],[],https://twitter.com/numeral767/status/1566033695848468487,False,,0,,Colombia,,,,,,"[{'screen_name': 'SEXCLOW', 'name': 'sexclow', 'id': '264207258'}]",,,,
5,1566033206327083010,1566029031190953984,"2022-09-03 06:59:46 Hora est. Pacífico, Sudamérica",2022-09-03,06:59:46,-500,167031104,larycovo,Lary Covo,,username Margui bendiciones infinitas ti. Feliz sábado,es,[],[],[],1,0,2,[],[],https://twitter.com/LaryCovo/status/1566033206327083010,False,,0,,Colombia,,,,,,"[{'screen_name': 'Margaritamrd_', 'name': 'Margaritamaria®️', 'id': '1134207215953481730'}]",,,,
6,1566033116870975488,1566029031190953984,"2022-09-03 06:59:25 Hora est. Pacífico, Sudamérica",2022-09-03,06:59:25,-500,167031104,larycovo,Lary Covo,,username Fl. Gusto saludarte feliz día,es,[],[],[],0,0,0,[],[],https://twitter.com/LaryCovo/status/1566033116870975488,False,,0,,Colombia,,,,,,"[{'screen_name': 'trx40fl', 'name': 'flcortes', 'id': '736991578565312512'}]",,,,
7,1566033029545566209,1566029031190953984,"2022-09-03 06:59:04 Hora est. Pacífico, Sudamérica",2022-09-03,06:59:04,-500,167031104,larycovo,Lary Covo,,username Amén Jua nota Feliz sábado,es,[],[],[],0,0,0,[],[],https://twitter.com/LaryCovo/status/1566033029545566209,False,,0,,Colombia,,,,,,"[{'screen_name': 'IJJUANBARRIOS', 'name': 'JUAN BARRIOS MIRANDA', 'id': '2254002284'}]",,,,
8,1566032353394302977,1565998890096246784,"2022-09-03 06:56:23 Hora est. Pacífico, Sudamérica",2022-09-03,06:56:23,-500,127671498,bitterest_mane,Mane VJ,,username Feliz viajeeeeee Beba,es,[],[],[],0,0,0,[],[],https://twitter.com/Bitterest_Mane/status/1566032353394302977,False,,0,,Colombia,,,,,,"[{'screen_name': 'DianaPortacio', 'name': 'DMPM', 'id': '85027344'}]",,,,
9,1566030924311052288,1565944305864286215,"2022-09-03 06:50:42 Hora est. Pacífico, Sudamérica",2022-09-03,06:50:42,-500,3214602280,ludysac_06,LUDYSAC.- ORGULLOSAMENTE WENEE,,"username Estoy feliz ti, espero, beso abrazo grande cariño 🫶💙💋",es,[],[],[],0,0,0,[],[],https://twitter.com/Ludysac_06/status/1566030924311052288,False,,0,,Colombia,,,,,,"[{'screen_name': 'illoquizas', 'name': 'Ash lvs axo | 🜲 TENGO VIP ES HOY', 'id': '2184692711'}]",,,,
